"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.65,154,74,30743,702,0.179906542056075,0.00240127202518091,0.179906542056075,0.675438596491228,0.284132841328413,0.581261101243339,0.65750760906324
0.66,154,70,30747,702,0.179906542056075,0.00227147353733329,0.179906542056075,0.6875,0.285185185185185,0.58963963963964,0.668816649466804
0.67,154,66,30751,702,0.179906542056075,0.00214167504948567,0.179906542056075,0.7,0.286245353159851,0.598263254113345,0.680521526076304
0.68,152,66,30752,703,0.177777777777778,0.00214160555519502,0.177777777777778,0.697247706422018,0.28331780055918,0.594980428275386,0.677642904436107
0.69,152,63,30755,703,0.177777777777778,0.0020442598481407,0.177777777777778,0.706976744186047,0.28411214953271,0.60162980209546,0.686736747931112
0.7,148,62,30756,707,0.173099415204678,0.00201181127912259,0.173099415204678,0.704761904761905,0.277934272300469,0.596915776986951,0.683962479981698
0.71,144,59,30759,711,0.168421052631579,0.00191446557206827,0.168421052631579,0.70935960591133,0.272211720226843,0.596636607360468,0.687497045615694
0.72,143,59,30759,712,0.167251461988304,0.00191446557206827,0.167251461988304,0.707920792079208,0.270577105014191,0.594812821140201,0.685965328900499
0.73,140,57,30760,716,0.163551401869159,0.00184962845182854,0.163551401869159,0.710659898477157,0.265906932573599,0.593812375249501,0.687877018875268
0.74,139,57,30761,716,0.162573099415205,0.00184956843403206,0.162573099415205,0.709183673469388,0.264509990485252,0.592082184916061,0.686335859203129
0.75,136,55,30763,719,0.15906432748538,0.00178467129599585,0.15906432748538,0.712041884816754,0.260038240917782,0.591153157760164,0.688348784765723
0.76,134,53,30765,721,0.15672514619883,0.00171977415795963,0.15672514619883,0.716577540106952,0.257197696737044,0.592149727060047,0.692099207363846
0.77,131,46,30772,724,0.153216374269006,0.00149263417483289,0.153216374269006,0.740112994350282,0.253875968992248,0.604014103607269,0.713069253570466
0.78,130,45,30773,725,0.152046783625731,0.00146018560581478,0.152046783625731,0.742857142857143,0.252427184466019,0.604651162790698,0.715336420593844
0.79,125,44,30774,730,0.146198830409357,0.00142773703679668,0.146198830409357,0.739644970414201,0.244140625,0.597077830851363,0.711067304984511
0.8,125,43,30775,730,0.146198830409357,0.00139528846777857,0.146198830409357,0.744047619047619,0.244379276637341,0.599774202653119,0.715094873973379
0.81,124,42,30776,731,0.145029239766082,0.00136283989876046,0.145029239766082,0.746987951807229,0.242899118511263,0.600398746795785,0.717502148381552
0.82,122,40,30778,733,0.142690058479532,0.00129794276072425,0.142690058479532,0.753086419753086,0.23992133726647,0.601682622570351,0.722486074464966
0.83,121,38,30780,734,0.141520467836257,0.00123304562268804,0.141520467836257,0.761006289308176,0.238658777120316,0.605177993527508,0.729394210683378
0.84,120,36,30782,735,0.140350877192982,0.00116814848465183,0.140350877192982,0.769230769230769,0.237388724035608,0.608773500447628,0.736554238833181
0.85,119,34,30784,736,0.139181286549708,0.00110325134661561,0.139181286549708,0.777777777777778,0.236111111111111,0.612473508931275,0.743980191891055
0.86,116,33,30784,740,0.135514018691589,0.00107083752474284,0.135514018691589,0.778523489932886,0.230845771144279,0.608641975308642,0.743589743589744
0.87,116,30,30787,740,0.135514018691589,0.000973488658857124,0.135514018691589,0.794520547945205,0.231536926147705,0.617794486215539,0.758022774327122
0.88,115,29,30788,741,0.134345794392523,0.00094103903689522,0.134345794392523,0.798611111111111,0.23,0.618670886075949,0.761339800734137
0.89,111,29,30788,745,0.129672897196262,0.00094103903689522,0.129672897196262,0.792857142857143,0.22289156626506,0.609496124031008,0.754644588045234
0.9,111,27,30789,746,0.129521586931155,0.000876168224299065,0.129521586931155,0.804347826086957,0.223115577889447,0.615660685154976,0.764890496008733
0.91,107,25,30791,750,0.12485414235706,0.000811266874350987,0.12485414235706,0.810606060606061,0.216380182002022,0.612664196699225,0.768798463399018
0.92,104,24,30792,753,0.121353558926488,0.000778816199376947,0.121353558926488,0.8125,0.211167512690355,0.608605851979346,0.76912938419858
0.93,104,23,30793,753,0.121353558926488,0.000746365524402908,0.121353558926488,0.818897637795276,0.211382113821138,0.611976462443752,0.774802684959799
0.94,97,23,30794,759,0.113317757009346,0.000746341305123795,0.113317757009346,0.808333333333333,0.198770491803279,0.594020172910663,0.762056627255756
0.95,90,18,30799,766,0.105140186915888,0.000584093195314275,0.105140186915888,0.833333333333333,0.186721991701245,0.592105263157895,0.779855868222375
0.96,89,14,30803,767,0.103971962616822,0.000454294707466658,0.103971962616822,0.864077669902913,0.185610010427529,0.604233226837061,0.805754750806741
0.97,84,12,30805,772,0.0981308411214953,0.00038939546354285,0.0981308411214953,0.875,0.176470588235294,0.596989966555184,0.811400153022188
0.98,76,13,30805,779,0.0888888888888889,0.000421831397235382,0.0888888888888889,0.853932584269663,0.161016949152542,0.566915313734094,0.786878523833931
0.99,64,7,30809,793,0.0746791131855309,0.000227154724818276,0.0746791131855309,0.901408450704225,0.137931034482759,0.545910687405921,0.812366469775041
