"recording_id","total_time","species","min_frequency","max_frequency","min_code_n_ind","detected_by_BirdNET","total_detections","proportion_of_time_detected","mean_BirdNET_confidence"
"122","4.211185","Turdus philomelos","1730.224854","4561.819824","4","FALSE","0","0",NA
"122","2.941945","Cyanistes caeruleus","3534.279541","9397.298828","4","FALSE","0","0",NA
"122","5.03493","Coturnix coturnix","1279.393066","3852.307373","4","FALSE","0","0",NA
"122","11.406343","Streptopelia decaocto","319.109283","661.53656","4","FALSE","0","0",NA
"122","0.857367000000004","Erithacus rubecula","5455.767578","11256.209961","1","FALSE","0","0",NA
"123","19.013373","Emberiza cirlus","2570.780518","6415.190918","1","TRUE","9","0.635838470112588","0.486144781111111"
"123","9.725232","Streptopelia decaocto","298.028839","846.643555","1","FALSE","0","0",NA
"123","1.412134","Turdus merula","1440.628418","2760.982422","4","FALSE","0","0",NA
"123","17.231394","Luscinia megarhynchos","983.49646","8606.568359","1","TRUE","8","0.704169146152657","0.40698906125"
"123","2.799051","Sylvia atricapilla","2139.757812","4022.95166","1","FALSE","0","0",NA
"123","2.748618","Saxicola rubicola","1630.039429","7850.02832","1","TRUE","1","0.532110318712897","0.12764512"
"125","10.406082","Regulus ignicapilla","3032.023438","9117.851562","1","FALSE","0","0",NA
"125","18.584691","Sylvia atricapilla","1756.901733","4609.106445","1","FALSE","0","0",NA
"125","12.658771","Troglodytes troglodytes","2170.955811","9198.657227","4","TRUE","1","0.183851260126279","0.14633654"
"125","1.487784","Turdus merula","1174.605835","4151.346191","1","FALSE","0","0",NA
"125","1.159967","Certhia brachydactyla","5062.629883","6669.173828","1","FALSE","0","0",NA
"125","1.655895","Turdus philomelos","2124.272705","3062.740723","1","FALSE","0","0",NA
"126","10.893604","Turdus merula","1064.80188","5344.119629","1","FALSE","0","0",NA
"126","9.63388999999999","Sylvia atricapilla","1723.290771","7074.828125","1","FALSE","0","0",NA
"127","32.579946","Luscinia megarhynchos","1001.122559","8032.12793","1","TRUE","12","0.67369451748017","0.530008615"
"128","59.973663","Emberiza cirlus","124.544739","0","4","TRUE","20","1","0.959253328"
"128","60.940301","Phylloscopus collybita","2397.627686","7401.836914","4","FALSE","0","0",NA
"128","21.493015","Luscinia megarhynchos","918.245789","5493.990234","4","FALSE","0","0",NA
"128","9.851313","Sylvia communis","1774.110352","6362.083008","4","FALSE","0","0",NA
"128","1.260834","Troglodytes troglodytes","2556.269043","10232.771484","4","FALSE","0","0",NA
"128","1.470973","Parus major","1258.673706","7816.763672","4","FALSE","0","0",NA
"128","3.093245","Fringilla coelebs","2321.229004","6102.436523","4","FALSE","0","0",NA
"128","15.155223","Turdus merula","1234.575439","4801.450684","1","FALSE","0","0",NA
"128","5.236663","Columba palumbus","257.828156","839.406555","4","FALSE","0","0",NA
"128","1.2104","Erithacus rubecula","1435.979614","5493.990234","1","FALSE","0","0",NA
