Scientific_name,English_name
Synoicus adansonii,Blue Quail
Margaroperdix madagarensis,Madagascar Partridge
Coturnix coturnix,Common Quail
Coturnix japonica,Japanese Quail
Coturnix delegorguei,Harlequin Quail
Coturnix coromandelica,Rain Quail
Coturnix pectoralis,Stubble Quail
Coturnix novaezelandiae,New Zealand Quail
Alectoris barbara,Barbary Partridge
Alectoris melanocephala,Arabian Partridge
Alectoris rufa,Red-legged Partridge
Alectoris chukar,Chukar
Alectoris graeca,Rock Partridge
Alectoris philbyi,Philby's Partridge
Alectoris magna,Przevalski's Partridge
Perdicula asiatica,Jungle Bush-Quail
Perdicula argoondah,Rock Bush-Quail
Perdicula erythrorhyncha,Painted Bush-Quail
Perdicula manipurensis,Manipur Bush-Quail
Ophrysia superciliosa,Himalayan Quail
Pternistis hartlaubi,Hartlaub's Francolin
Pternistis camerunensis,Cameroon Francolin
Pternistis nobilis,Handsome Francolin
Pternistis castaneicollis,Chestnut-naped Francolin
Pternistis atrifrons,Black-fronted Francolin
Pternistis erckelii,Erckel's Francolin
Pternistis ochropectus,Djibouti Francolin
Pternistis swierstrai,Swierstra's Francolin
Pternistis ahantensis,Ahanta Francolin
Pternistis griseostriatus,Gray-striped Francolin
Pternistis jacksoni,Jackson's Francolin
Pternistis adspersus,Red-billed Francolin
Pternistis capensis,Cape Francolin
Pternistis natalensis,Natal Francolin
Pternistis hildebrandti,Hildebrandt's Francolin
Pternistis bicalcaratus,Double-spurred Francolin
Pternistis squamatus,Scaly Francolin
Pternistis icterorhynchus,Heuglin's Francolin
Pternistis clappertoni,Clapperton's Francolin
Pternistis harwoodi,Harwood's Francolin
Pternistis swainsonii,Swainson's Francolin
Pternistis leucoscepus,Yellow-necked Francolin
Pternistis rufopictus,Gray-breasted Francolin
Pternistis afer,Red-necked Francolin
Phoenicopterus chilensis,Chilean Flamingo
Phoenicopterus ruber,American Flamingo
Phoenicopterus roseus,Greater Flamingo
Phoeniconaias minor,Lesser Flamingo
Phoenicoparrus andinus,Andean Flamingo
Phoenicoparrus jamesi,James's Flamingo
Rollandia rolland,White-tufted Grebe
Rollandia microptera,Titicaca Grebe
Tachybaptus rufolavatus,Alaotra Grebe
Tachybaptus ruficollis,Little Grebe
Tachybaptus novaehollandiae,Australasian Grebe
Tachybaptus pelzelnii,Madagascar Grebe
Tachybaptus dominicus,Least Grebe
Podilymbus podiceps,Pied-billed Grebe
Podilymbus gigas,Atitlan Grebe
Poliocephalus poliocephalus,Hoary-headed Grebe
Poliocephalus rufopectus,New Zealand Grebe
Podiceps major,Great Grebe
Podiceps auritus,Horned Grebe
Podiceps grisegena,Red-necked Grebe
Podiceps cristatus,Great Crested Grebe
Podiceps nigricollis,Eared Grebe
Podiceps andinus,Colombian Grebe
Podiceps occipitalis,Silvery Grebe
Podiceps taczanowskii,Junin Grebe
Podiceps gallardoi,Hooded Grebe
Aechmophorus occidentalis,Western Grebe
Aechmophorus clarkii,Clark's Grebe
Columba livia,Rock Pigeon
Columba rupestris,Hill Pigeon
Columba leuconota,Snow Pigeon
Columba guinea,Speckled Pigeon
Columba albitorques,White-collared Pigeon
Columba oenas,Stock Dove
Columba eversmanni,Yellow-eyed Pigeon
Columba oliviae,Somali Pigeon
Columba palumbus,Common Wood-Pigeon
Columba trocaz,Trocaz Pigeon
Columba bollii,Bolle's Pigeon
Columba unicincta,Afep Pigeon
Columba junoniae,Laurel Pigeon
Columba arquatrix,Rameron Pigeon
Columba sjostedti,Cameroon Pigeon
Columba thomensis,Maroon Pigeon
Columba delegorguei,Delegorgue's Pigeon
Columba iriditorques,Bronze-naped Pigeon
Columba malherbii,Sao Tome Pigeon
Columba thiriouxi,Mauritius Wood-Pigeon
Columba larvata,Lemon Dove
Columba pollenii,Comoro Pigeon
Columba hodgsonii,Speckled Wood-Pigeon
Columba albinucha,White-naped Pigeon
Columba pulchricollis,Ashy Wood-Pigeon
Columba elphinstonii,Nilgiri Wood-Pigeon
Columba torringtoniae,Sri Lanka Wood-Pigeon
Columba punicea,Pale-capped Pigeon
Columba argentina,Silvery Wood-Pigeon
Columba palumboides,Andaman Wood-Pigeon
Columba janthina,Japanese Wood-Pigeon
Columba jouyi,Ryukyu Pigeon
Columba versicolor,Bonin Pigeon
Columba vitiensis,Metallic Pigeon
Columba leucomela,White-headed Pigeon
Columba pallidiceps,Yellow-legged Pigeon
Patagioenas cayennensis,Pale-vented Pigeon
Patagioenas speciosa,Scaled Pigeon
Patagioenas squamosa,Scaly-naped Pigeon
Patagioenas picazuro,Picazuro Pigeon
Patagioenas corensis,Bare-eyed Pigeon
Patagioenas maculosa,Spot-winged Pigeon
Patagioenas leucocephala,White-crowned Pigeon
Patagioenas flavirostris,Red-billed Pigeon
Patagioenas inornata,Plain Pigeon
Patagioenas fasciata,Band-tailed Pigeon
Patagioenas araucana,Chilean Pigeon
Patagioenas caribaea,Ring-tailed Pigeon
Patagioenas oenops,Peruvian Pigeon
Patagioenas plumbea,Plumbeous Pigeon
Patagioenas subvinacea,Ruddy Pigeon
Patagioenas nigrirostris,Short-billed Pigeon
Patagioenas goodsoni,Dusky Pigeon
Ectopistes migratorius,Passenger Pigeon
Nesoenas mayeri,Pink Pigeon
Nesoenas duboisi,Reunion Pigeon
Nesoenas cicur,Mauritius Turtle-Dove
Nesoenas rodericanus,Rodrigues Turtle-Dove
Streptopelia turtur,European Turtle-Dove
Streptopelia lugens,Dusky Turtle-Dove
Streptopelia hypopyrrha,Adamawa Turtle-Dove
Streptopelia orientalis,Oriental Turtle-Dove
Streptopelia bitorquata,Sunda Collared-Dove
Streptopelia dusumieri,Philippine Collared-Dove
Streptopelia decaocto,Eurasian Collared-Dove
Streptopelia roseogrisea,African Collared-Dove
Streptopelia reichenowi,White-winged Collared-Dove
Streptopelia decipiens,Mourning Collared-Dove
Streptopelia semitorquata,Red-eyed Dove
Streptopelia capicola,Ring-necked Dove
Streptopelia vinacea,Vinaceous Dove
Streptopelia tranquebarica,Red Collared-Dove
Streptopelia picturata,Malagasy Turtle-Dove
Streptopelia chinensis,Spotted Dove
Streptopelia senegalensis,Laughing Dove
Macropygia unchall,Barred Cuckoo-Dove
Macropygia phasianella,Brown Cuckoo-Dove
Macropygia macassariensis,Flores Sea Cuckoo-Dove
Macropygia magna,Timor Cuckoo-Dove
Macropygia timorlaoensis,Tanimbar Cuckoo-Dove
Macropygia amboinensis,Amboyna Cuckoo-Dove
Macropygia doreya,Sultan's Cuckoo-Dove
Macropygia rufipennis,Andaman Cuckoo-Dove
Macropygia tenuirostris,Philippine Cuckoo-Dove
Macropygia emiliana,Ruddy Cuckoo-Dove
Macropygia cinnamomea,Enggano Cuckoo-Dove
Macropygia modiglianii,Barusan Cuckoo-Dove
Macropygia nigrirostris,Black-billed Cuckoo-Dove
Macropygia mackinlayi,Mackinlay's Cuckoo-Dove
Macropygia ruficeps,Little Cuckoo-Dove
Reinwardtoena reinwardti,Great Cuckoo-Dove
Reinwardtoena browni,Pied Cuckoo-Dove
Reinwardtoena crassirostris,Crested Cuckoo-Dove
Turacoena manadensis,White-faced Cuckoo-Dove
Turacoena sulaensis,Sula Cuckoo-Dove
Turacoena modesta,Slaty Cuckoo-Dove
Turtur chalcospilos,Emerald-spotted Wood-Dove
Turtur abyssinicus,Black-billed Wood-Dove
Turtur afer,Blue-spotted Wood-Dove
Turtur tympanistria,Tambourine Dove
Turtur brehmeri,Blue-headed Wood-Dove
Oena capensis,Namaqua Dove
Chalcophaps indica,Asian Emerald Dove
Chalcophaps longirostris,Pacific Emerald Dove
Chalcophaps stephani,Stephan's Dove
Henicophaps albifrons,New Guinea Bronzewing
Henicophaps foersteri,New Britain Bronzewing
Alopecoenas hoedtii,Wetar Ground Dove
